#Distance	Mean err on D
3.36	0.26
15.2	4.56
8.79	0.28
7.72	0.18
6.8	2.04
4.04	0.2
7.5	2.25
4.25	0.21
15.4	4.62
28.7	7.17
13	3.9
4.83	0.48
60.8	9.1
66.4	10
48.9	9.8
54	10.8
59.7	11.9
51.8	10.4
79	11.8
90.7	9.7
82.4	8.24
80.6	8.06
53.3	10.7
80.1	8
96.8	9.68
89.1	8.91
89.5	8.95
35.4	8.85
53.3	10.7
3.91	0.2
100.4	10
6.8	2.04
7.3	0.36
2.11	0.11
13.5	4.05
3.7	0.19
20.8	5.2
2.08	0.1
80.7	8.07
9.91	0.5
11.4	3.42
37	9.25
5.73	0.29
3.27	0.16
3.16	0.16
9.81	0.49
14.1	1.4
6.6	1.98
4.06	0.2
97.9	9.8
3.58	0.18
68.1	10.2
1.33	0.07
13.8	1.4
7.7	2.3
18	2.5
3.21	0.17
18	2.5
18	2.5
18	2.5
18	2.5
18	2.5
18	2.5
18	2.5
23.7	2.3
18	2.5
18	2.5
18	2.5
4.37	0.22
18	2.5
18	2.5
18	2.5
18	2.5
18	2.5
18	2.5
2.87	0.14
18	2.5
18	2.5
9	2.7
16.9	1.5
15.7	4.7
9.9	0.3
39.7	9.92
7.06	2.12
17.3	0.9
39.7	9.9
17	5.1
127.8	12.8
6.26	0.31
51.2	10.2
3.52	0.18
5.52	1.66
14.7	1.5
3.61	0.18
14.4	0.66
13.6	1.4
64.5	9.7
17.1	5.1
30.9	7.7
12.5	3.75
10.2	3.1
53.7	10.7
5.27	0.24
10.4	3.1
10.5	3.1
6.92	2.08
69.1	10.4
80.6	8.06
65.4	9.8
16.5	4.95
50	10
28.7	7.2
20.7	5.2
9.51	2.85
3.45	0.17
9.6	2.88
3.34	0.31
12.5	3.75
53.7	10.7
22.9	5.72
9.4	2.82
21.3	5.3
6.18	1.85
58.7	11.7
7.47	2.24
8.64	2.59
7.66	2.3
8.63	2.59
47.7	9.5
18	2.5
12	3.6
88.7	8.87
15.1	4.53
18	2.5
29.3	7.32
21.3	5.32
18	2.5
18	2.5
18	2.5
18	2.5
18	2.5
18	2.5
18	2.5
19.8	5.9
6.87	0.34
2.83	0.17
13.1	3.93
8	2.4
8.43	2.53
4.74	0.24
4.97	0.25
2.59	0.13
4.7	1.41
8.21	2.46
8.11	2.43
4.57	0.23
6.5	0.21
4.65	0.53
6.7	2
39.3	9.82
7.21	0.36
83.6	8.4
57.1	11.4
10.7	3.21
15.2	4.6
78.6	11.8
24.2	6.05
18.1	5.43
16.9	5.1
100.6	10.1
9.77	2.93
13.2	4
5.68	0.28
4.35	0.22
0.98	0.05

