#Total Luminosity	Mean  err on L	Disc scale length	Total HI mass	HI radius at 1 Msun/pc2
0.075	0.003	0.47	0.012	1.21
0.325	0.022	1.24	0.081	0
0.033	0.004	0.61	0.029	0
0.196	0.009	0.7	0.29	0
0.157	0.007	0.69	0.211	3.49
0.053	0.002	0.37	0.275	4.96
0.548	0.015	1.22	1.378	10.69
0.191	0.005	1.02	0.413	4.3
0.543	0.03	1.95	0.735	9.14
51.733	0.524	5.08	3.14	17.67
4.292	0.071	1.51	1.083	9.58
0.071	0.003	0.46	0.135	2.95
311.177	2.579	5.45	24.298	55.71
4.077	0.327	2.79	1.622	10.69
1.903	0.17	3.52	3.2	23.47
1.54	0.165	3.79	0.61	6.83
2.986	0.267	2.43	2.169	11.37
0.559	0.098	2.17	0.699	7.31
2.134	0.305	3.08	2.449	14.94
6.252	0.564	5.18	4.498	16.31
8.346	0.592	4.99	3.195	16.14
3.825	0.384	2.85	2.491	14.38
10.164	0.412	3.56	1.782	24.55
1.849	0.267	2.47	1.217	10.1
6.537	0.596	4.46	3.524	16.19
2.877	0.384	3.76	1.701	12.61
11.848	0.742	3.37	2.245	20.96
0.986	0.093	2.36	2.126	15.65
1.715	0.185	1.93	0.641	7.8
1.016	0.012	2.78	1.036	10.81
179.749	3.311	4.78	12.326	32.13
0.085	0.007	1.34	0.115	2.9
3.889	0.036	1.34	0.676	7.29
4.628	0.013	6.11	1.565	10.24
3.232	0.063	1.66	1.99	16.36
7.332	0.027	3.74	1.746	12.79
72.065	0.465	6.74	27.469	49.51
2.922	0.008	1.75	0.936	9.2
312.57	3.455	8.72	23.201	44.99
138.34	0.255	2.55	4.462	18.16
6.82	0.075	1.61	5.88	33.33
72.045	0.796	3.53	8.783	30.49
0.533	0.01	0.39	0.139	2.36
0.236	0.005	0.65	0.647	6.94
10.041	0.028	1.39	3.199	15.11
80.415	0.222	2.18	1.406	13.79
188.121	0.52	3.64	9.775	45.12
81.863	0.151	2.33	2.552	13.76
0.641	0.008	0.55	0.508	7.16
319.422	4.413	18.76	28.949	40.34
3.371	0.019	1.01	0.172	3.04
150.902	2.085	6.2	23.451	43.58
0.194	0.002	1.56	0.477	6
38.279	0.212	3.14	10.869	35.66
84.836	0.156	2.4	4.154	18.85
70.234	0.388	3.4	6.473	22.2
0.028	0.001	0.2	0.182	4.2
18.679	0.189	3.38	5.529	22.57
72.535	0.401	2.53	1.483	11.47
58.525	0.377	2.38	5.799	20.84
21.966	0.202	2.63	1.888	14.08
38.067	0.28	3.59	3.371	13.72
141.301	0.521	4.89	2.832	17.38
14.353	0.172	2.18	1.214	10.05
226.932	0.836	4.96	16.599	32.75
17.193	0.19	2.81	2.832	17.59
79.094	0.364	3.53	2.967	31.35
95.268	0.439	4.65	2.697	15.13
