#Inclination	Mean err on Inc
65	5
56	10
63	7
59	3
60	5
64	3
70	10
63	6
66	7
79	5
74	3
32	6
83	3
24	10
25	5
60	10
29	10
60	10
20	10
26	5
40	10
40	10
85	5
30	10
65	10
30	10
26	10
63	5
55	10
75	7
90	1
59	5
64	3
77	3
89	1
74	3
46	5
42	10
80	1
90	1
67	5
64	3
80	10
68	5
63	3
80	5
76	10
66	3
56	4
56	7
61	10
58	2
70	5
73	3
75	5
53	2
70	4
70	2
76	1
49	2
79	2
55	2
62	1
77	1
56	2
89	1
89	1
49	3
44	6
82	2
69	2
73	2
53	3
82	3
82	2
15	10
86	2
50	4
67	1
68	2
66	1
55	6
53	2
51	2
88	2
60	2
60	2
62	5
74	2
54	6
43	7
38	2
75	2
47	9
90	1
66	3
57	10
45	5
37	8
57	3
60	5
22	10
90	1
19	10
41	3
51	5
36	5
64	4
50	5
50	4
67	4
55	5
63	4
90	3
40	10
41	3
58	3
50	3
41	10
37	4
55	3
54	10
61	5
64	10
60	10
34	10
46	5
90	3
22	10
75	2
51	3
36	10
20	10
89	1
64	3
66	3
75	3
56	2
65	2
32	5
71	3
49	1
80	3
90	3
90	3
59	5
30	10
47	3
55	3
46	3
61	3
63	3
78	3
25	10
41	5
44	5
90	3
50	3
90	3
73	9
80	5
65	5
53	6
30	10
34	6
90	1
30	10
45	10
31	5
86	4
46	3
39	6
67	3
64	7
78	4

