#log(M200)	rs	Ydisk	ybul
10.23	13.41	0.35	0
10.52	7.66	0.49	0
10.19	9.49	0.45	0
10.71	13.35	0.39	0
10.54	8.3	0.5	0
10.58	11.55	0.33	0
10.87	13.5	0.47	0
10.68	9.88	0.56	0
10.67	9.59	0.5	0
12.4	61.74	0.57	0
11.5	20.24	0.39	0
10.45	6.35	0.52	0
13.47	230.66	0.96	0
11.14	11.79	0.49	0
11.05	13.07	0.54	0
10.81	11.73	0.47	0
11.12	12.92	0.55	0
10.82	9.39	0.54	0
11	10.38	0.48	0
11.3	14.25	0.56	0
11.34	31.23	0.55	0
11.16	9.45	0.53	0
12.05	29.05	0.2	0
10.99	12.26	0.5	0
11.27	14.35	0.54	0
11.06	12.81	0.5	0
11.33	8.61	0.47	0
11.02	15.7	0.59	0
10.93	11.45	0.49	0
11.19	107.59	0.44	0
11.95	7.95	0.67	0.14
10.35	11.96	0.53	0
11.3	12.79	1.18	0
11.27	25.26	0.36	0
11.19	15.2	0.46	0
11.38	20.98	0.66	0
11.81	24.9	0.53	0
11.12	15.21	0.41	0
12.33	79.7	0.72	0
11.92	11.29	0.25	0.54
11.58	31.27	0.66	0
11.71	17.61	0.54	0
10.81	5.54	0.82	0
10.6	12.25	0.31	0
11.39	6.98	0.39	0
11.81	25.09	0.66	0.67
12.57	53.24	1	0.88
11.64	6.11	0.27	0
10.82	5.33	0.44	0
12.38	32.26	0.32	0.82
11.12	22.81	0.6	0
12	22.77	0.55	0
11.06	26.72	0.92	0
11.64	15.29	0.46	0
12.44	47.02	0.5	0
11.93	33.49	0.49	0
10.39	7.92	0.55	0
11.42	13.87	0.41	0
11.68	11.62	0.32	0
11.94	21.08	0.46	0
11.76	34.16	0.76	0
11.7	19.17	0.46	0
12.19	38.67	0.62	0
11.57	17.53	0.55	0
12.12	18.23	0.56	0
11.59	20.85	0.46	0
12.28	59.02	0.54	0.82
11.9	27.2	0.47	0
10.57	10.07	0.44	0
11.51	15.26	0.39	0
11.93	29.74	0.39	0
11.67	13.6	0.57	0
11.8	24	0.62	0.7
12.13	38.04	0.48	0.67
11.22	10.12	0.46	0
10.89	9.55	0.54	0
12.17	28.75	0.98	0.22
11.28	16.23	0.32	0
11.43	14.71	0.43	0
12.93	71.51	0.5	0.55
11.88	10.1	0.35	0.39
11.72	13.29	0.26	0
11.75	5.89	0.26	0
11.26	18.29	0.21	0
11.88	8.41	0.3	0
12.2	8.87	0.28	0.65
11.47	7.6	0.55	0
12.71	79.27	0.36	0.84
11.24	8.25	0.41	0
12.81	184.96	1.29	0.92
10.47	4.25	0.55	0
11.8	20.34	0.5	0.53
12.41	38.63	0.42	0.61
11.25	15.38	0.55	0
12.04	16.72	0.65	0.57
10.26	15.37	0.44	0
11.48	16.62	0.53	0
11	9.54	0.58	0
11.12	16.26	0.46	0
10.73	8.06	0.55	0
10.78	10.37	0.58	0
11.28	12.17	0.52	0
10.74	12.18	0.55	0
10.88	9.87	0.49	0
10.93	5.52	0.43	0
10.64	6.17	0.34	0
12.27	24.91	0.7	0.59
12.68	57.69	0.42	1.05
11.94	13.56	0.5	0.5
12.24	22.47	0.54	0.57
12.27	51.19	0.68	1.04
11.85	15.2	0.59	0.47
11.5	11.85	0.68	0.28
11.15	18.89	0.48	0
10.79	6.58	0.53	0
11.04	6.88	0.49	0
10.02	5.68	0.48	0
10.91	10.52	0.47	0
11.11	17.06	0.49	0
12.08	11.98	0.28	0.75
10.84	11.31	0.47	0
10.76	8.87	0.45	0
10.79	5.09	0.47	0
11.02	16.64	0.52	0
10.43	3.71	0.45	0
10.71	10.94	0.51	0
10.5	7.24	0.51	0
11.69	29.96	0.49	0
11.07	15.14	0.47	0
11.09	11.72	0.56	0
10.89	7.45	0.51	0
12.62	58.72	0.47	0.71
11.12	11.64	0.51	0
11.11	11.52	0.64	0
12.08	14.13	0.4	0.61
13.38	437.52	1.1	0.3
10.89	12.46	0.41	0
11.32	13.55	0.51	0
11.06	10.98	0.47	0
11.29	12.81	0.5	0
11.85	10.47	0.21	0.48
11.23	9.99	0.54	0
11.04	16.05	0.46	0
10.71	7.76	0.49	0
11.08	14.19	0.72	0
10.47	5.46	0.51	0
10.99	9.59	0.52	0
11.16	17.04	0.49	0
11.13	8.23	0.54	0
11.07	15.54	0.5	0
10.4	11.09	0.43	0
10.17	14.32	0.37	0
10.77	7.76	0.46	0
10.62	8.34	0.51	0
10.89	12.04	0.67	0
10.45	8.62	0.46	0
10.87	6.06	0.62	0
10.74	4.16	0.48	0
10.63	7.53	0.6	0
12	30.31	0.74	0.59
10.66	19.64	0.38	0
12.1	37.32	0.25	0
12.16	36.22	0.75	0.53
10.63	7.55	0.51	0
10.97	10.2	0.51	0
13.01	120.1	0.61	0
11.28	16.66	0.47	0
10.84	13.54	0.58	0
13.6	125.05	0.34	0.91
12.08	12.47	0.43	0
10.84	8.59	0.48	0
10.98	12.43	0.5	0
10.54	8.85	0.5	0
10.65	10.3	0.61	0
10.06	5.79	0.51	0

