#coreNFW_lcdm	DC14_lcdm	NFW_lcdm
7.95	5.12	13.41
8.58	7.71	7.66
8.06	4.41	9.49
8.3	4.32	13.35
6.76	5.18	8.3
9.06	2.51	11.55
6.64	7.53	13.5
4.76	2.9	9.88
7.71	4.52	9.59
16.29	24.92	61.74
10.44	7.62	20.24
5.53	2.87	6.35
6.14	4.45	230.66
12.74	9.8	11.79
9.8	7.24	13.07
11.25	11.45	11.73
12.47	8.51	12.92
7.49	6.31	9.39
11.19	9.11	10.38
13.16	8.81	14.25
9.75	11.3	31.23
11.42	6.58	9.45
6.95	6.98	29.05
10.45	8.66	12.26
16.31	7.77	14.35
11.45	11.28	12.81
24.74	8.45	8.61
6.56	5.73	15.7
12.54	10.03	11.45
5.12	9.72	107.59
1.22	1.76	7.95
4.01	6.01	11.96
18.28	8.54	12.79
10.8	7.86	25.26
9.52	8.76	15.2
38.47	10.28	20.98
26.01	21.02	24.9
11.03	7.82	15.21
83.29	23.29	79.7
7.72	10.44	11.29
31.23	20.94	31.27
20.52	17.15	17.61
6.77	4.18	5.54
5.85	2.39	12.25
12.88	6.6	6.98
24.97	11.2	25.09
58.72	52.53	53.24
6.36	3.76	6.11
4.89	2.44	5.33
30.11	16.84	32.26
8.16	10.2	22.81
43.65	18.59	22.77
5.4	3.98	26.72
16.26	9.39	15.29
51.43	32.51	47.02
31.56	55.73	33.49
7.71	2.92	7.92
13.62	11.11	13.87
26.39	12.4	11.62
18.73	16.11	21.08
19.79	29.57	34.16
20.08	14.71	19.17
56.2	18.47	38.67
15.06	11.81	17.53
53.61	17.2	18.23
13.92	13.86	20.85
63.17	48.09	59.02
35.63	18.64	27.2
7.43	5.11	10.07
10.76	11.45	15.26
31.84	39.65	29.74
24.44	15.63	13.6
25.08	12.88	24
38.93	41.89	38.04
26.08	9.75	10.12
11.25	6.74	9.55
17.23	17.46	28.75
11.42	11.96	16.23
15.97	11.4	14.71
76.57	32.67	71.51
10.86	7.49	10.1
17.28	7.93	13.29
120.07	5.88	5.89
8.69	7.21	18.29
106.63	11.59	8.41
3.3	14.13	8.87
98.7	17.37	7.6
65.74	109.83	79.27
9.17	6.51	8.25
187.34	226.8	184.96
3.47	6.08	4.25
20.14	19.83	20.34
41.95	31.47	38.63
17.5	12.91	15.38
17.51	13.94	16.72
15.72	11.19	15.37
31.19	15.24	16.62
22.94	7.3	9.54
11.41	10.16	16.26
6.03	3.49	8.06
5.06	6.81	10.37
12	9.13	12.17
6.95	3.63	12.18
9.27	9.56	9.87
26.96	6	5.52
4.8	5.12	6.17
25.05	16.41	24.91
62.02	48.52	57.69
13.29	1.48	13.56
32.2	18.69	22.47
74.29	14.48	51.19
15.28	16.21	15.2
14.71	8.49	11.85
7.89	7.82	18.89
9.94	16.89	6.58
24.86	6.13	6.88
5.73	2.78	5.68
11.7	8.56	10.52
12.35	11.92	17.06
9.79	6.72	11.98
9.08	8.53	11.31
9.78	6.4	8.87
5.93	3.33	5.09
10.59	10.57	16.64
25.78	1.53	3.71
8.82	7.04	10.94
8.47	6.09	7.24
9.91	9.22	29.96
10.3	9.89	15.14
10.28	7.14	11.72
11.87	5.89	7.45
58.47	41.1	58.72
13.03	10.96	11.64
7.13	4.86	11.52
24.93	13.66	14.13
416.38	144.96	437.52
9.19	6.79	12.46
14.56	9.08	13.55
10.65	8.03	10.98
14.93	10.21	12.81
9.24	5.93	10.47
13.86	7.84	9.99
12.48	10.31	16.05
11.69	6.92	7.76
16.75	10.56	14.19
4.52	5.37	5.46
14.33	11.58	9.59
11.32	10.56	17.04
10.14	5.42	8.23
10.87	5.36	15.54
9.52	4.21	11.09
12.6	5.98	14.32
7.3	5.66	7.76
7.05	6.21	8.34
13.86	11.41	12.04
8.12	4.72	8.62
16.34	2.18	6.06
11.14	5.23	4.16
12.14	9.43	7.53
34.12	23.62	30.31
12.36	6.17	19.64
15.77	18.29	37.32
35.93	30.67	36.22
8.48	8.55	7.55
12.21	8.26	10.2
19.2	79.71	120.1
12.91	11.96	16.66
17.63	13.16	13.54
138.3	33.62	125.05
40.59	18.38	12.47
12.13	5.44	8.59
13.31	9.05	12.43
7.52	3.69	8.85
6.1	2.82	10.3
5.29	2.45	5.79

